"NAME","S1903_C01_001E"
"Geographic Area Name","Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Oakhurst-North Fork CCD, Madera County, California","5652"
"Yosemite Lakes CCD, Madera County, California","5618"
"Bolinas CCD, Marin County, California","1147"
"Northwest Marin CCD, Marin County, California","3657"
"Novato CCD, Marin County, California","24856"
"Ross Valley CCD, Marin County, California","23307"
"San Rafael CCD, Marin County, California","27827"
"Southeast Marin CCD, Marin County, California","24464"
"Coulterville CCD, Mariposa County, California","1374"
"Mariposa CCD, Mariposa County, California","5909"
"Yosemite Valley CCD, Mariposa County, California","417"
"Covelo CCD, Mendocino County, California","984"
"Fort Bragg CCD, Mendocino County, California","4775"
"Hopland CCD, Mendocino County, California","729"
"Laytonville-Leggett CCD, Mendocino County, California","1804"
"Mendocino CCD, Mendocino County, California","4601"
"Point Arena CCD, Mendocino County, California","1877"
"Redwood Valley-Potter Valley CCD, Mendocino County, California","4382"
"Ukiah CCD, Mendocino County, California","9656"
"Willits CCD, Mendocino County, California","5282"
"Atwater CCD, Merced County, California","15089"
"Dos Palos CCD, Merced County, California","2854"
"Gustine CCD, Merced County, California","2889"
"Hilmar-Irwin CCD, Merced County, California","3472"
"Livingston-Delhi CCD, Merced County, California","9009"
"Los Banos CCD, Merced County, California","11929"
"Merced CCD, Merced County, California","31718"
"Planada-Le Grand CCD, Merced County, California","2303"
"Snelling CCD, Merced County, California","343"
"Adin-Lookout CCD, Modoc County, California","314"
"Alturas CCD, Modoc County, California","2553"
"Newell CCD, Modoc County, California","313"
"Surprise Valley CCD, Modoc County, California","480"
"Mammoth Lakes CCD, Mono County, California","4032"
"North Mono CCD, Mono County, California","815"
"Big Sur CCD, Monterey County, California","620"
"Carmel-by-the-Sea CCD, Monterey County, California","6976"
"Carmel Valley CCD, Monterey County, California","2381"
"Castroville CCD, Monterey County, California","5630"
"Gonzales CCD, Monterey County, California","2900"
"Greenfield CCD, Monterey County, California","3977"
"King City CCD, Monterey County, California","4341"
"Pajaro CCD, Monterey County, California","4530"
"Salinas CCD, Monterey County, California","44272"
"San Ardo CCD, Monterey County, California","1175"
"Seaside-Monterey CCD, Monterey County, California","41329"
"Soledad CCD, Monterey County, California","4063"
"Toro Park CCD, Monterey County, California","3858"
"Angwin CCD, Napa County, California","1619"
"Calistoga CCD, Napa County, California","2630"
"Lake Berryessa CCD, Napa County, California","720"
"Napa CCD, Napa County, California","40719"
"St. Helena CCD, Napa County, California","3344"
"Donner CCD, Nevada County, California","6253"
"Grass Valley CCD, Nevada County, California","28081"
"Nevada City CCD, Nevada County, California","6570"
"Anaheim-Santa Ana-Garden Grove CCD, Orange County, California","493476"
"Central Coast CCD, Orange County, California","98956"
"Irvine-Lake Forest CCD, Orange County, California","93498"
"Mission Viejo CCD, Orange County, California","79665"
"North Coast CCD, Orange County, California","137060"
"Silverado CCD, Orange County, California","1051"
"South Coast CCD, Orange County, California","128667"
"Auburn CCD, Placer County, California","18794"
"Colfax-Monumental Ridge CCD, Placer County, California","8203"
"Foresthill-Back Country CCD, Placer County, California","2597"
"Lake Tahoe CCD, Placer County, California","3428"
